VS_ID,VS_NAME,VS_ADDRESS1,VS_ADDRESS2,CITY,PHONE,COVID-19,RSV,TDAP,PNEUMOCOCCAL,ANTIVIRAL,LATITUDE,LONGITUDE,BUFFER_DISTANCE,SUM_POP_CATHCMENT_PIECE,FREQUENCY,VS_PER_1000,SHAPE_LENGTH,SHAPE_AREA
AB00004419,CURIS RX PHARMACY MAHOGANY,159 MAHOGANY CENTRE SE,,CALGARY,403-299-5808,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,50.89697308,-113.9348758,1000,7652.753217,8,0.130671926,6283.185307,3141592.654
AB00000119,LOBLAW PHARMACY #1574,PHARMACY DEPARTMENT,10505 SOUTHPORT RD SW,CALGARY,403-225-6207,COVID-19,RSV,,,NO,50.9621373,-114.0746043,1000,6824.239489,18,0.146536475,6283.185307,3141592.654
AB00002730,FRESHCO PHARMACY #4291,850 SADDLETOWNE CIR NE,,CALGARY,403-293-1670,COVID-19,,,,NO,51.12375399,-113.9447021,1000,16382.00545,8,0.061042587,6283.185307,3141592.654
AB00000016,TOWER DRUGS,137-131 9 AVE SW,,CALGARY,403-261-2006,,RSV,TDAP,PNEUMOCOCCAL,NO,51.04446146,-114.0650599,1000,23183.9889,65,0.043133216,6283.185307,3141592.654
AB00002361,PINERIDGE PHARMACY,7-3250 60 ST NE,,CALGARY,403-568-0095,COVID-19,,,,NO,51.0811271,-113.9463689,1000,12008.12089,13,0.083276976,6283.185307,3141592.654
AB00002569,SHOPPERS DRUG MART #311,100-815 17 AVE SW,,CALGARY,403-244-9769,COVID-19,RSV,TDAP,PNEUMOCOCCAL,YES,51.0377204,-114.0798058,1000,21219.21242,37,0.047127103,6283.185307,3141592.654
AB00004311,LOBLAW PHARMACY 3730,3428 69 ST NW,,CALGARY,403-288-8352,COVID-19,RSV,,,YES,51.08359465,-114.1872368,1000,5022.731843,8,0.199094841,6283.185307,3141592.654
AB00002579,MEDICINE SHOPPE PHARMACY 194,2303 4 ST SW,,CALGARY,403-229-3458,COVID-19,RSV,TDAP,PNEUMOCOCCAL,YES,51.03231993,-114.0718985,1000,15196.90766,40,0.065802861,6283.185307,3141592.654
AB00002667,SAFEWAY PHARMACY #8803,399 36 ST NE,,CALGARY,403-235-4510,COVID-19,,,,NO,51.05422436,-113.9849644,1000,5204.831867,9,0.192129165,6283.185307,3141592.654
AB00004124,CALGARY DRUG MART #03,3130-11 ROYAL VISTA DR NW,,CALGARY,403-800-6646,COVID-19,,TDAP,PNEUMOCOCCAL,NO,51.1500556,-114.2064574,1000,4232.363823,15,0.236274584,6283.185307,3141592.654
AB00100165,AURA PHARMACY,1129-4058 109 AVE NE,,CALGARY,587-333-0294,,RSV,TDAP,PNEUMOCOCCAL,NO,51.153388,-113.9771074,1000,2236.786417,5,0.447069954,6283.185307,3141592.654
AB00003292,MEDICINE SHOPPE PHARMACY 389,1152 137 AVE SE,,CALGARY,403-523-0116,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,50.92835632,-114.0282088,1000,7279.884203,16,0.137364822,6283.185307,3141592.654
AB00003856,SHOPPERS DRUG MART #2375,700-151 WALDEN GATE SE,,CALGARY,403-254-0382,COVID-19,RSV,TDAP,PNEUMOCOCCAL,YES,50.87616522,-114.0366415,1000,7102.554105,5,0.140794422,6283.185307,3141592.654
AB00003936,SAVE-ON-FOODS PHARMACY #6647,4163 UNIVERSITY AVE NW,,CALGARY,403-282-1234,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,51.07773149,-114.1467589,1000,3939.102323,17,0.253864946,6283.185307,3141592.654
AB00002075,SHOPPERS DRUG MART #2305,11700 SARCEE TR NW,,CALGARY,403-275-6336,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,51.15782043,-114.1601808,1000,5521.54837,7,0.181108619,6283.185307,3141592.654
AB00100254,RUNDLEHORN PHARMACY,150-6927 RUNDLEHORN DR NE,,CALGARY,403-900-1007,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,51.08120161,-113.9423584,1000,11636.75996,11,0.085934573,6283.185307,3141592.654
AB00002669,SAFEWAY PHARMACY #8809,1200 37 ST SW,,CALGARY,403-240-3223,COVID-19,RSV,,,NO,51.04428365,-114.1400171,1000,8861.593999,14,0.112846515,6283.185307,3141592.654
AB00001755,CALGARY CO-OP PHARMACY #20,1000-11595 ROCKYVALLEY DR NW,,CALGARY,403-299-5454,COVID-19,,,,NO,51.14773392,-114.2552101,1000,4934.704819,2,0.202646366,6283.185307,3141592.654
AB00003431,PANORAMA HILLS PHARMACY,28 PANATELLA BLVD NW,,CALGARY,403-460-6707,COVID-19,,TDAP,PNEUMOCOCCAL,NO,51.16547718,-114.0712342,1000,12391.83436,6,0.080698303,6283.185307,3141592.654
AB00003102,SHOPPERS DRUG MART #2403,101-600 SADDLETOWNE CIR NE,,CALGARY,403-568-7143,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,51.12603735,-113.945173,1000,15596.11474,9,0.064118533,6283.185307,3141592.654
AB00100198,FORME PHARMACY BRIDGELAND,100-736 A AVE NE,,CALGARY,403-930-7905,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,51.06553698,-114.0475701,1000,7021.562903,35,0.142418435,6283.185307,3141592.654
AB00000734,LONDON DRUGS #33,3630 BRENTWOOD RD NW,,CALGARY,403-289-4512,COVID-19,RSV,,,NO,51.08504957,-114.1236415,1000,5897.367557,19,0.169567182,6283.185307,3141592.654
AB00003878,DRUG + BEAN (KILLARNEY),3114 17 AVE SW,,CALGARY,403-764-7078,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,51.0394219,-114.1320682,1000,9017.622538,13,0.110893974,6283.185307,3141592.654
AB00002677,SAFEWAY PHARMACY #8827,2525 WOODVIEW DR SW,,CALGARY,403-251-0777,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,50.94050375,-114.1194262,1000,7435.918533,9,0.134482377,6283.185307,3141592.654
AB00100215,PHARMASAVE CAPITAL HILL,1438 20 AVE NW,,CALGARY,587-318-7073,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,51.07083299,-114.0940711,1000,8959.214635,30,0.111616926,6283.185307,3141592.654
AB00003529,SUPER M DRUGS (2018),216 CENTRE ST SE,,CALGARY,403-233-7788,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,51.05078516,-114.0624063,1000,16754.34387,81,0.059686014,6283.185307,3141592.654
AB00003849,SHOPPERS DRUG MART #2335,126-40 SUNPARK PLAZA SE,,CALGARY,403-256-3700,COVID-19,RSV,TDAP,PNEUMOCOCCAL,YES,50.90194494,-114.0568082,1000,7615.041627,21,0.131319046,6283.185307,3141592.654
AB00100348,QUEENSLAND PHARMACY,418-950 QUEENSLAND DR SE,,CALGARY,403-800-9387,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,50.9335468,-114.0171154,1000,7210.822809,20,0.138680429,6283.185307,3141592.654
AB00003872,MEADOWS MILE PHARMACY,110-8500 BLACKFOOT TR SE,,CALGARY,403-253-5700,COVID-19,,TDAP,PNEUMOCOCCAL,NO,50.97661519,-114.046636,1000,5134.507692,9,0.194760639,6283.185307,3141592.654
AB00002904,SHOPPERS DRUG MART #353,1000-150 MILLRISE BLVD SW,,CALGARY,403-256-4630,COVID-19,RSV,TDAP,PNEUMOCOCCAL,YES,50.91393121,-114.0714093,1000,8524.377503,19,0.117310619,6283.185307,3141592.654
AB00002686,SAFEWAY PHARMACY #8847,70 SHAWVILLE BLVD SW,,CALGARY,403-256-1202,COVID-19,RSV,TDAP,PNEUMOCOCCAL,YES,50.90583617,-114.0642826,1000,7869.653244,28,0.127070402,6283.185307,3141592.654
AB00100017,DEER VALLEY PHARMACY,101-83 DEERPOINT RD SE,,CALGARY,587-554-5588,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,50.9268828,-114.0289032,1000,6772.615191,18,0.14765345,6283.185307,3141592.654
AB00003304,SOBEYS PHARMACY #5386,1200-7 MAHOGANY PLAZA SE,,CALGARY,403-726-0063,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,50.89798895,-113.9414996,1000,9085.023056,15,0.110071267,6283.185307,3141592.654
AB00002917,MELL PHARMACY,771 NORTH MOUNT DR NW,,CALGARY,403-454-5244,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,51.08260367,-114.0959373,1000,6144.267069,32,0.162753342,6283.185307,3141592.654
AB00000080,CALGARY CO-OP PHARMACY #4,4122 BRENTWOOD RD NW,,CALGARY,403-299-4308,COVID-19,,,,NO,51.08844285,-114.1308792,1000,6493.584553,19,0.153998149,6283.185307,3141592.654
AB00004178,MILLRISE PHARMACY,9-15 MILLRISE BLVD SW,,CALGARY,587-329-5858,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,50.9205757,-114.076119,1000,7520.667171,12,0.132966927,6283.185307,3141592.654
AB00002940,SAGE PLUS CLINICAL PHARMACY,860 13 ST SE,,CALGARY,587-480-0178,COVID-19,,,,NO,51.04042942,-114.0309414,1000,5225.746717,14,0.191360212,6283.185307,3141592.654
AB00100077,UNIVERSAL HEALTH PHARMACY #11,80-10233 ELBOW DR SW,,CALGARY,403-255-2354,COVID-19,,,,NO,50.96193461,-114.08581,1000,7412.055327,16,0.134915345,6283.185307,3141592.654
AB00002737,SAFEWAY PHARMACY #8918,5607 4 ST NW,,CALGARY,403-730-5080,COVID-19,RSV,TDAP,PNEUMOCOCCAL,YES,51.10196272,-114.0719359,1000,8302.033501,11,0.120452417,6283.185307,3141592.654
AB00004211,SHOPPERS DRUG MART #325,198-8060 SILVER SPRINGS BLVD,,CALGARY,403-288-1126,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,51.11666085,-114.2042534,1000,6241.385152,29,0.160220845,6283.185307,3141592.654
AB00003929,KINSOL PHARMACY,803 1 AVE NE,,CALGARY,587-351-8923,COVID-19,,,,NO,51.05320485,-114.0452994,1000,9212.821798,56,0.108544377,6283.185307,3141592.654
AB00004405,MERIT PHARMACY,11458 BRAESIDE DR SW,,CALGARY,403-255-0049,,RSV,TDAP,PNEUMOCOCCAL,YES,50.95408079,-114.1166915,1000,8776.335346,13,0.113942775,6283.185307,3141592.654
AB00004130,NULIFE PHARMACY,114-10325 BONAVENTURE DR SE,,CALGARY,403-271-8160,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,50.96051322,-114.0697877,1000,6250.632558,18,0.159983808,6283.185307,3141592.654
AB00100156,UNIVERSAL HEALTH RANCHLANDS PHARMACY #4,137-1829 RANCHLANDS BLVD NW,,CALGARY,403-452-5554,COVID-19,,,,NO,51.12326105,-114.1974946,1000,7949.718336,41,0.12579062,6283.185307,3141592.654
AB00004032,MEDICINE SHOPPE PHARMACY 181,11-555 HAWKWOOD BLVD NW,,CALGARY,403-547-1600,COVID-19,RSV,,,NO,51.13001524,-114.1771318,1000,9042.716137,18,0.110586243,6283.185307,3141592.654
AB00003911,PHARMASAVE WHITEHORN #3018,BAY 17-4525 52 ST NE,,CALGARY,403-888-1551,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,51.09201309,-113.9586006,1000,11779.84094,11,0.08489079,6283.185307,3141592.654
AB00002689,SAFEWAY PHARMACY #8852,200 STEWART GREEN SW,,CALGARY,403-246-0336,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,51.01460372,-114.1670197,1000,7684.55417,14,0.130131167,6283.185307,3141592.654
AB00001709,SOBEYS PHARMACY #1129,125-8888 COUNTRY HILLS BLVD NW,,CALGARY,403-239-7455,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,51.15178225,-114.2131886,1000,3871.986054,14,0.258265393,6283.185307,3141592.654
AB00003336,SOUTH TRAIL PHARMACY,78-4307 130 AVE SE,,CALGARY,403-475-8612,COVID-19,,TDAP,PNEUMOCOCCAL,NO,50.93059254,-113.9730717,1000,6992.118625,7,0.143018169,6283.185307,3141592.654
AB00003110,CALGARY CO-OP PHARMACY #26,700-100 AUBURN MEADOWS DR SE,,CALGARY,403-225-9130,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,50.89543807,-113.9443726,1000,9910.40821,11,0.100904017,6283.185307,3141592.654
AB00000124,CALGARY CO-OP PHARMACY #5,3330 17 AVE SE,,CALGARY,403-299-4467,COVID-19,RSV,TDAP,PNEUMOCOCCAL,YES,51.03886471,-113.9881606,1000,7066.390942,8,0.141514956,6283.185307,3141592.654
AB00003819,REVOLUTION REMEDY'SRX,5959 SIGNAL HILL CENTRE SW,,CALGARY,587-319-0501,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,51.01693857,-114.174547,1000,7736.917566,12,0.12925044,6283.185307,3141592.654
AB00002838,RIVERSIDE REMEDY'S RX DISPENSARY,10-630 1 AVE NE,,CALGARY,403-457-9033,COVID-19,,,,NO,51.05368624,-114.0498296,1000,10746.55985,71,0.093053034,6283.185307,3141592.654
AB00003970,COSTCO PHARMACY #56,2853 32 ST NE,,CALGARY,403-216-6696,COVID-19,RSV,,,NO,51.07932333,-113.9907238,1000,1615.640103,20,0.618949726,6283.185307,3141592.654
AB00002684,SAFEWAY PHARMACY #8844,100-5005 DALHOUSIE DR NW,,CALGARY,403-202-0444,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,51.10549355,-114.1612934,1000,7055.346453,2,0.141736484,6283.185307,3141592.654
AB00003669,MEDIMAX PHARMACY,240-520 3 AVE SW,,CALGARY,403-454-4412,,,,,NO,51.0507308,-114.0688522,1000,17422.42115,66,0.057397304,6283.185307,3141592.654
AB00002673,SAFEWAY PHARMACY #8823,1818 CENTRE ST NE,,CALGARY,403-276-3313,COVID-19,,,,YES,51.06842114,-114.0608089,1000,9830.4659,25,0.101724578,6283.185307,3141592.654
AB00001177,CALGARY CO-OP PHARMACY #15,700-2220 68 ST NE,,CALGARY,403-299-2612,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,51.0684625,-113.9336307,1000,10453.75351,11,0.09565942,6283.185307,3141592.654
AB00004145,SANDSTONE PHARMACIES SIMONS VALLEY,6213 CENTRE ST NW,,CALGARY,403-274-2444,COVID-19,RSV,,,NO,51.10788492,-114.0633693,1000,8233.068993,8,0.12146139,6283.185307,3141592.654
AB00004268,SHOPPERS DRUG MART 2355,28 CROWFOOT TERRACE NW,,CALGARY,403-241-8818,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,51.1275117,-114.1982707,1000,8065.755528,39,0.123980946,6283.185307,3141592.654
AB00003782,MEDICINE SHOPPE PHARMACY 178,105-4411 16 AVE NW,,CALGARY,403-247-9502,COVID-19,,,,NO,51.06805148,-114.1588588,1000,4219.395253,14,0.237000788,6283.185307,3141592.654
AB00003628,HEALTH+ PHARMACY,2642 PARKDALE BLVD NW,,CALGARY,403-455-5514,,,,,NO,51.05344486,-114.122716,1000,7782.830651,13,0.128487956,6283.185307,3141592.654
AB00002649,PHARMACY PLUS,5066 68 ST NE,,CALGARY,403-568-0005,COVID-19,RSV,,,YES,51.09870489,-113.9341021,1000,11759.86339,6,0.085035001,6283.185307,3141592.654
AB00004119,EXALAN PHARMACY,7-2111 CENTRE ST NW,,CALGARY,403-276-7076,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,51.07131481,-114.0629897,1000,10116.04872,18,0.098852826,6283.185307,3141592.654
AB00000012,CAMBRIAN PHARMACY,9-728 NORTHMOUNT DR NW,,CALGARY,403-289-9181,COVID-19,,,,NO,51.08230306,-114.09281,1000,6330.725443,30,0.15795978,6283.185307,3141592.654
AB00100193,PHARMASAVE OMEGA,1111-4715 88 AVE NE,,CALGARY,825-415-5090,,,,,NO,51.13222922,-113.9644071,1000,10095.67893,9,0.099052278,6283.185307,3141592.654
AB00001144,VIET HOA PHARMACY LTD,102-1817 48 ST SE,,CALGARY,403-272-0603,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,51.0372578,-113.9646378,1000,7552.480906,7,0.132406823,6283.185307,3141592.654
AB00003973,RICHMOND SQUARE PHARMACY,142-3715 51 ST SW,,CALGARY,403-249-4346,COVID-19,RSV,,,NO,51.02147236,-114.161749,1000,9954.653845,16,0.100455527,6283.185307,3141592.654
AB00004297,UNIVERSAL HEALTH PHARMACY #10,113-8555 SCURFIELD DR NW,,CALGARY,403-547-4323,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,51.12053503,-114.2116492,1000,6111.204324,28,0.163633868,6283.185307,3141592.654
AB00003010,SHOPPERS DRUG MART #361,7740 18 ST SE,,CALGARY,403-236-0851,,RSV,,,NO,50.98424083,-114.0150743,1000,6249.526213,5,0.16001213,6283.185307,3141592.654
AB00001593,LOBLAW PHARMACY #1546,4700 130 AVE SE,,CALGARY,403-257-6530,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,50.93356613,-113.9668006,1000,4656.323466,8,0.214761712,6283.185307,3141592.654
AB00003703,PHARMASAVE ON NORTHMOUNT,4501 BRISEBOIS DR NW,,CALGARY,403-282-1208,COVID-19,,,,NO,51.09340467,-114.127905,1000,7031.307472,11,0.14222106,6283.185307,3141592.654
AB00001038,MEDICINE SHOPPE PHARMACY 111,114-8180 MACLEOD TR SE,,CALGARY,403-253-7383,COVID-19,,,,NO,50.98199571,-114.0703651,1000,8360.291563,18,0.119613053,6283.185307,3141592.654
AB00000071,CALGARY CO-OP PHARMACY #6,4940 RICHMOND RD SW,,CALGARY,403-299-4487,COVID-19,RSV,,,NO,51.01911946,-114.1589891,1000,10261.73057,15,0.09744945,6283.185307,3141592.654
AB00001346,WAL-MART PHARMACY #3151,100-310 SHAWVILLE BLVD SE,,CALGARY,403-201-5426,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,50.90101993,-114.0606656,1000,8078.756958,24,0.123781419,6283.185307,3141592.654
AB00002753,SHOPPERS DRUG MART #2384,2555 WOODVIEW DR SW,,CALGARY,403-281-1616,COVID-19,RSV,TDAP,PNEUMOCOCCAL,YES,50.94109861,-114.1214168,1000,7770.553269,9,0.128690965,6283.185307,3141592.654
AB00002899,SAVE-ON-FOODS PHARMACY #6634,8855 MACLEOD TR SW,,CALGARY,403-640-7617,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,50.97449255,-114.0719797,1000,8386.363985,20,0.119241187,6283.185307,3141592.654
AB00001873,COSTCO PHARMACY #543,11588 SARCEE TRAIL NW,,CALGARY,403-516-3728,COVID-19,RSV,,,NO,51.15535475,-114.1559511,1000,6718.525679,7,0.148842179,6283.185307,3141592.654
AB00002683,SAFEWAY PHARMACY #8842,1600 90 AVE SW,,CALGARY,403-255-3988,COVID-19,RSV,,,YES,50.97354107,-114.0968174,1000,5159.622538,11,0.193812627,6283.185307,3141592.654
AB00004003,ROYAL CARE DOUGLASDALE PHARMACY,6-20 DOUGLAS WOODS DR SE,,CALGARY,587-349-3443,COVID-19,,TDAP,PNEUMOCOCCAL,NO,50.94356558,-114.0019933,1000,4814.493417,9,0.207706172,6283.185307,3141592.654
AB00001750,LONDON DRUGS #68,500-8888 COUNTRY HILLS BLVD NW,,CALGARY,403-275-4298,COVID-19,RSV,,,NO,51.15305663,-114.2148912,1000,3521.62384,14,0.283959913,6283.185307,3141592.654
AB00003990,REVIVE PHARMACY,1905 20 AVE NW,,CALGARY,403-764-8020,,,,,NO,51.07041643,-114.1046444,1000,8142.297391,27,0.12281546,6283.185307,3141592.654
AB00002048,MEDICINE SHOPPE PHARMACY 260,11-600 CROWFOOT CRES NW,,CALGARY,403-455-9939,COVID-19,RSV,TDAP,PNEUMOCOCCAL,YES,51.12979307,-114.2039427,1000,7519.876292,29,0.132980911,6283.185307,3141592.654
AB00003305,SHOPPERS DRUG MART #2371,610-7 MAHOGANY PLAZA SE,,CALGARY,403-278-3606,COVID-19,,TDAP,PNEUMOCOCCAL,NO,50.89811031,-113.9405845,1000,8867.580672,13,0.11277033,6283.185307,3141592.654
AB00002662,SAVE-ON-FOODS PHARMACY #6604,225 PANTELLA HILL NW,,CALGARY,403-384-9792,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,51.16747098,-114.0890728,1000,12192.35397,7,0.082018616,6283.185307,3141592.654
AB00002268,CALGARY CO-OP PHARMACY #23,410-163 QUARRY PARK BLVD SE,,CALGARY,403-203-4838,COVID-19,RSV,,,NO,50.96260407,-114.0079763,1000,5157.572388,3,0.193889668,6283.185307,3141592.654
AB00000001,MEDICINE SHOPPE PHARMACY 199,4-7930 BOWNESS RD NW,,CALGARY,403-288-4041,COVID-19,RSV,,,NO,51.08913208,-114.2011653,1000,5452.722867,7,0.183394613,6283.185307,3141592.654
AB00002555,SHOPPERS DRUG MART #2356,830-19369 SHERIFF KING ST SW,,CALGARY,403-873-9135,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,50.87882944,-114.0717085,1000,3057.33433,4,0.327082318,6283.185307,3141592.654
AB00000786,CALGARY CO-OP PHARMACY #14,100-250 SHAWVILLE BLVD SE,,CALGARY,403-299-4439,COVID-19,RSV,TDAP,PNEUMOCOCCAL,YES,50.90319486,-114.0637289,1000,8158.494623,24,0.122571632,6283.185307,3141592.654
AB00003954,MAYFAIR PHARMACY,128-6707 ELBOW DR SW,,CALGARY,403-259-6893,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,50.99368257,-114.0840543,1000,6394.947642,14,0.156373446,6283.185307,3141592.654
AB00100026,HEATHERS PHARMACY,104-305 10 ST NW,,CALGARY,825-540-1500,COVID-19,,TDAP,PNEUMOCOCCAL,YES,51.05451586,-114.0862431,1000,11570.13638,28,0.086429405,6283.185307,3141592.654
AB00003817,MEDICINE SHOPPE PHARMACY 171,100-2675 36 ST NE,,CALGARY,403-291-0076,COVID-19,,,,NO,51.07748805,-113.9825869,1000,5851.359532,17,0.170900454,6283.185307,3141592.654
AB00004198,BRIDGEDALE PHARMACY,1010 1 AVE  NE,,CALGARY,403-269-6440,COVID-19,RSV,TDAP,,NO,51.05342892,-114.0401932,1000,7645.020796,33,0.130804092,6283.185307,3141592.654
AB00000390,DRUG SHOPPE,2079 146 AVE SE,,CALGARY,403-278-1565,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,50.9198697,-114.0148617,1000,6743.072529,16,0.148300348,6283.185307,3141592.654
AB00002671,SAFEWAY PHARMACY #8816,32 AVE & SHAGANNAPI TR NW,,CALGARY,403-288-8804,COVID-19,RSV,,,NO,51.08472862,-114.1568891,1000,5131.13859,10,0.194888519,6283.185307,3141592.654
AB00003867,CORE PHARMACY & TRAVEL CLINIC,201-722 85 ST SW,,CALGARY,403-454-2333,COVID-19,,,,NO,51.06684738,-114.2103062,1000,9284.674364,3,0.10770437,6283.185307,3141592.654
AB00002944,SHOPPERS DRUG MART #2413,100-2250 162 AVE SW,,CALGARY,403-201-8202,COVID-19,RSV,TDAP,PNEUMOCOCCAL,YES,50.90812285,-114.1096492,1000,12604.6457,5,0.079335828,6283.185307,3141592.654
AB00003610,EXCELHEALTH PHARMACY,100-3916 MACLEOD TR SW,,CALGARY,587-351-4036,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,51.01890956,-114.0621789,1000,3883.082412,19,0.25752737,6283.185307,3141592.654
AB00000009,CALGARY CO-OP PHARMACY #8,2580 SOUTHLAND DR SW,,CALGARY,403-299-5400,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,50.96274096,-114.1209816,1000,8838.064089,8,0.11314695,6283.185307,3141592.654
AB00003090,RENFREW PHARMACY,832 EDMONTON TR NE,,CALGARY,403-452-1005,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,51.05967527,-114.0537917,1000,9569.117085,60,0.104502849,6283.185307,3141592.654
AB00001915,CALGARY CO-OP PHARMACY #22,CREEKSIDE MARKET,12000 SYMONS VALLEY RD NW,CALGARY,403-299-4474,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,51.16169266,-114.1231457,1000,10591.20764,6,0.094417939,6283.185307,3141592.654
AB00003217,REXALL #7284,116-817 19 ST NE,,CALGARY,403-277-2227,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,51.05857866,-114.0145583,1000,6706.948333,7,0.149099106,6283.185307,3141592.654
AB00003926,PHARMASAVE SIGNATURE DRUG MART #3017,509-1851 SIROCCO DR SW,,CALGARY,403-455-1119,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,51.0367092,-114.1670057,1000,7651.093104,10,0.130700279,6283.185307,3141592.654
AB00002682,SAFEWAY PHARMACY #8841,11011 BONAVENTURE DR SE,,CALGARY,403-278-8585,COVID-19,RSV,TDAP,PNEUMOCOCCAL,YES,50.95286315,-114.061155,1000,5252.396326,8,0.190389289,6283.185307,3141592.654
AB00004298,FRESHCO PHARMACY #4311,7048-2060 SYMONS VALLEY,PKWY NW,CALGARY,403-266-1450,,,TDAP,PNEUMOCOCCAL,NO,51.17595078,-114.10752,1000,11455.10417,7,0.087297329,6283.185307,3141592.654
AB00003806,RUNDLE PHARMACY,11-3735 RUNDLEHORN DR NE,,CALGARY,403-798-9280,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,51.07151283,-113.97887,1000,7595.14434,13,0.131663067,6283.185307,3141592.654
AB00001989,VALLEY RIDGE PHARMACY,300-11245 VALLEY RIDGE DR NW,,CALGARY,403-532-4500,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,51.09171231,-114.2480368,1000,4271.913028,5,0.234087163,6283.185307,3141592.654
AB00004293,AXIS PHARMACY CLINIC,3503 20 ST SW,,CALGARY,403-300-2997,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,51.02306834,-114.1094609,1000,11440.85222,6,0.087406076,6283.185307,3141592.654
AB00100098,CROWFOOT PHARMACY,301-150 CROWFOOT CRES NW,,CALGARY,403-453-8139,,,,,NO,51.12750317,-114.1952367,1000,8365.542695,37,0.119537971,6283.185307,3141592.654
AB00004308,REXALL #7522,315 8 AVE SW,,CALGARY,403-663-0059,COVID-19,,,,NO,51.04555225,-114.0692907,1000,22338.67912,66,0.044765404,6283.185307,3141592.654
AB00002163,SHOPPERS DRUG MART #2361,2412 4 ST SW,,CALGARY,403-228-2129,,RSV,,,NO,51.03137118,-114.070369,1000,13892.46002,46,0.071981492,6283.185307,3141592.654
AB00002732,SAFEWAY PHARMACY #8913,1846-1632 14 AVE NW,,CALGARY,403-210-0224,COVID-19,RSV,,,NO,51.06576064,-114.1025706,1000,8220.893956,19,0.121641272,6283.185307,3141592.654
AB00004401,UNITED PHARMACY,2790 32 AVE NE,,CALGARY,403-453-2443,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,51.08199601,-113.9952041,1000,101.3752585,13,9.864339825,6283.185307,3141592.654
